"year","assimilated_weight","ingested_weight","Weight","Length","JulianDay","feeding_hours","Metabolism","percentage_partic","metaConst","assimilation","gape_size"
2013,0.0437363576996892,0.0512307492975675,0.301082384835989,4.12680870716482,158,16,0.00794721803850438,98.5248500449751,0.0158820430540362,0.85371302,1.92610983953269e-05
2013,0.0443625017525947,0.0519415187505294,0.308240212768226,4.15629575617117,159,16,0.00811862897104435,98.5604271289382,0.0159703716943036,0.854085572,1.95373321989917e-05
2013,0.0450690105570395,0.0527910288620402,0.315488987324536,4.18567502609081,160,16,0.00820235928668367,98.5947289504628,0.0158848284897084,0.8537248,1.98145122926304e-05
2013,0.0459401075356444,0.0537809901877578,0.322862317578608,4.21508034377757,161,16,0.0083909056280687,98.6266593632822,0.0159993081370135,0.854207172,2.00938931124713e-05
2013,0.0468360387438519,0.0549062578107674,0.330372157960123,4.2445528166915,162,16,0.00837234721324899,98.6551044324448,0.0157186173018667,0.853018228,2.03758745249315e-05
2013,0.047910244333745,0.0561627803663642,0.338064896266243,4.27426284988645,163,16,0.00850862239180178,98.6789467509829,0.0157284905640189,0.853060408,2.06621174303506e-05
2013,0.0489156415708096,0.0575375321295641,0.345945220654632,4.30421273775939,164,16,0.00827578855960115,98.6971289572249,0.0150619996825228,0.850151888,2.09526920606844e-05
2013,0.0502088624398323,0.0590225587800446,0.354073191256874,4.33460975692832,165,16,0.00847210867321545,98.7086401578585,0.0151791680934502,0.850672412,2.12496793902388e-05
2013,0.0514536906887589,0.0605819544650027,0.362420542010197,4.36532515695252,166,16,0.00843571345291311,98.7124527573899,0.0148774419965395,0.849323716,2.1551900330771e-05
2013,0.0530884342222521,0.0622306066974225,0.371024137457366,4.3964717071215,167,16,0.00906552758279215,98.7080109779901,0.0157358951293435,0.853092024,2.18605426717076e-05
2013,0.0560743829698339,0.0656237042260515,0.379828718785258,4.42782898172344,168,16,0.00940366320544136,98.7044330696428,0.0160652976580009,0.85448366,2.21734898074298e-05
2013,0.0621246036013925,0.0725192098062619,0.389162862738137,4.46052385261553,169,16,0.00987495972472257,98.7105361998942,0.0165953319391074,0.8566641,2.25021546775806e-05
2013,0.0714985992636322,0.0830134087877448,0.399612791513471,4.49648486977488,170,16,0.010770417252478,98.7227548182097,0.0177783798776564,0.861289764,2.28664447515103e-05
2013,0.0837505760277285,0.0970822463956856,0.411758427915701,4.5374669472423,171,16,0.0112203488421131,98.7351679343966,0.0181492239055285,0.862676536,2.32851651448686e-05
2013,0.0989791002719267,0.114555919296261,0.426264473352825,4.5853240418508,172,16,0.0117197501697412,98.7416439231564,0.0185170528801862,0.86402432,2.37789371090681e-05
2013,0.116384556438217,0.135115634089769,0.443716343373262,4.64141846261605,173,16,0.0115769626516772,98.7375940024562,0.0177996334799501,0.86137002,2.43642936046378e-05
2013,0.135999402374386,0.158342402753768,0.464677862130569,4.70679669442061,174,16,0.011514031618485,98.7201390851535,0.017155581519442,0.858894396,2.50555103385453e-05
2013,0.157603756846267,0.183719431396351,0.48957493628175,4.78183169489629,175,16,0.011746857006693,98.6876168956458,0.0168909713593796,0.857850232,2.58607398836502e-05
2013,0.181040684612329,0.21065871909968,0.518746316249665,4.86643817610317,176,16,0.0125058305779856,98.638952875694,0.0172859066054741,0.85940276,2.67839604043518e-05
2013,0.204971179848828,0.238521426197881,0.552453287056534,4.96016611752668,177,16,0.0130436271926888,98.5732673324642,0.0172699552040007,0.859340744,2.78256178437744e-05
2013,0.22921370044585,0.266638575799313,0.590838797587761,5.06216922072411,178,16,0.0137188385977801,98.4897509803674,0.0173475631635655,0.859641932,2.89818224294868e-05
2013,0.253104412098156,0.294392149126227,0.633937769957375,5.17133419769096,179,16,0.0144212001220666,98.3876446366476,0.0173761637275861,0.859752588,3.02452781901851e-05
2013,0.27646001015335,0.321103905607067,0.681674412352593,5.28636639981691,180,16,0.0154353529005689,98.266249199254,0.0176932786307894,0.860967448,3.16058078413307e-05
2013,0.299328495311318,0.346309338211917,0.733879343803149,5.40590832527655,181,16,0.0170753366119532,98.1250962585266,0.0186038640012178,0.864338504,3.30513898320815e-05
2013,0.320124153471472,0.36963446142248,0.790329975543022,5.52867855555994,182,16,0.018436105231287,97.9639057716982,0.0190856712553993,0.866056028,3.45696556817007e-05
2013,0.33838816483549,0.390827441486928,0.850667585191059,5.65332029777115,183,16,0.0193310984709545,97.7828287795052,0.0190201395678673,0.865824988,3.61459428045084e-05
2013,0.356138128803364,0.40976547572508,0.914478998463967,5.77860409274993,184,16,0.0213481072589882,97.5824269057931,0.0199783867831192,0.869126732,3.77657622827575e-05
2013,0.370726478733462,0.426447732696288,0.981437002772842,5.903676401233,185,16,0.0224912930407013,97.3634812959584,0.0200408021727601,0.869336264,3.94182611435651e-05
2013,0.384154294587045,0.440942833556072,1.05108403991139,6.0276118199554,186,16,0.0242575963398271,97.1273994129347,0.0206080311750397,0.871211108,4.10906418507897e-05
2013,0.396921079430123,0.453386702681321,1.12306337956084,6.14982128673702,187,16,0.0270620595718362,96.8758246846789,0.0219530454655294,0.87545814,4.27737536914199e-05
2013,0.408018636384812,0.463948048743662,1.19703518353249,6.26985125211356,188,16,0.0300273948189996,96.610773240287,0.0232968214254158,0.879448976,4.44597328413969e-05
2013,0.416611729141807,0.47280788957398,1.27263343184566,6.3872917912751,189,16,0.0321437352098761,96.334716671897,0.0238920841948828,0.881143776,4.61408814214468e-05
2013,0.423726860388745,0.480150493386582,1.34952703063204,6.50185741659594,190,16,0.034171112006362,96.0504401027238,0.0243748692063761,0.882487608,4.78109371157906e-05
2013,0.428782821120726,0.486153941045004,1.42743818030852,6.61338831165497,191,16,0.03528369480077,95.7609648168738,0.0241949024193835,0.881989808,4.94652741535436e-05
2013,0.432484531604947,0.4909832247986,1.50613800557251,6.72182017352012,192,16,0.0360281037389819,95.4695162361202,0.0237892348848871,0.880853988,5.11006180651873e-05
2013,0.43702455134613,0.494786194501371,1.5854292911457,6.82714370317497,193,16,0.0387173527043449,95.179526814722,0.0246565365411503,0.883259388,5.27145449767153e-05
2013,0.439557355071699,0.497690973395401,1.66509073087406,6.92932402869056,194,16,0.0400416220270403,94.8947402600119,0.0246323064329117,0.883193344,5.43042867605789e-05
2013,0.441808232484334,0.499808502115377,1.74499387748299,7.02844671125986,195,16,0.0418623120122764,94.6189009193752,0.024913199488222,0.883955016,5.58690242250874e-05
2013,0.443769680124093,0.501229856924647,1.8249830615774,7.1245562583564,196,16,0.0441249188251728,94.3560197332859,0.0254403819781961,0.885361624,5.74074179578066e-05
2013,0.445429877255484,0.502027660395558,1.90491201383719,7.21770383146357,197,16,0.0467884024390019,94.1102679452068,0.0261702378725273,0.887261624,5.89183381024866e-05
2013,0.447736352860127,0.50225615164263,1.98464030880049,7.30794186350577,198,16,0.0512642985394706,93.8859705043618,0.0278540330892454,0.891450212,6.04007791634715e-05
2013,0.449262762688101,0.50221383283491,2.06393471966462,7.39521639322132,199,16,0.0552055011529837,93.6849677831267,0.0291758884196885,0.894564692,6.18520568649795e-05
2013,0.4505788882725,0.502183170623824,2.14274617197164,7.47967340888418,200,16,0.0589906652732391,93.506272183727,0.0303613791378326,0.89724012,6.32728860254623e-05
2013,0.449988907293012,0.502174042347471,2.22106381657149,7.56148284909932,201,16,0.0594710831918666,93.3502865120328,0.029842223417064,0.896081576,6.46645584357239e-05
2013,0.449358149185147,0.502193021209713,2.29916738139172,7.64109009882435,202,16,0.0597806775612001,93.2165059624275,0.0292746550762368,0.894791704,6.60333019982617e-05
2013,0.422424772975577,0.471337825668728,2.37708287571651,7.71864915078331,203,15,0.0619047228587492,92.89856317964,0.0299060371396949,0.896225064,6.73806156440135e-05
2013,0.422823494422882,0.471373796263038,2.44918688573988,7.78886017101674,204,15,0.063951217073995,92.8201792990914,0.030254187802363,0.897002544,6.86120172287206e-05
2013,0.422745865066957,0.471430847361201,2.52096134120965,7.8573337066034,205,15,0.0649928376105087,92.7638467622441,0.0301313821222017,0.896729324,6.98236857741214e-05
2013,0.423003890603015,0.47149924372553,2.59251194670094,7.92425430668326,206,15,0.0666900896688298,92.728719419463,0.0303190882751622,0.897146488,7.10181218219005e-05
2013,0.422247824859488,0.471565909872676,2.66377470688778,7.9896381196636,207,15,0.0662366354254178,92.7141988187056,0.0295481495577894,0.895416348,7.21949120005549e-05
2013,0.422074012382797,0.471616895654395,2.73497694477459,8.05375990145115,208,15,0.0670004145803089,92.7188937842984,0.0293441599243803,0.894951,7.3358379653334e-05
2013,0.419076116718786,0.471633841194982,2.80599166433509,8.11656415622376,209,15,0.062019016850782,92.742064239189,0.0266819654147165,0.88856244,7.45069567806668e-05
2013,0.41808579062114,0.471599568887103,2.87740308430869,8.17861186099711,210,15,0.0612287793213329,92.7813466093982,0.0258856252403447,0.886527084,7.56504593649959e-05
2013,0.418336701646725,0.471488059839541,2.94877448656865,8.23956150038216,211,15,0.0629712024501377,92.8363821615508,0.0261730804968889,0.88726892,7.67822037565523e-05
2013,0.418803861356616,0.471270928913671,3.01984758640797,8.2992430367647,212,15,0.0653684644035387,92.9062082705651,0.0267243226207574,0.888668992,7.78985437469775e-05
2014,0.0635239855953101,0.0743117824693104,0.18,3.53112813245625,141,15,0.00568627190907705,98.5758747689007,0.0161484871666403,0.8548306,1.41019550898423e-05
2014,0.0669712759605852,0.0786103605290793,0.191567542737247,3.59840690839748,142,15,0.0056805098501392,98.4742217507447,0.015468223689355,0.85193956,1.46444449970161e-05
2014,0.0712972735110475,0.0834715832231983,0.203825695959336,3.66667992472019,143,15,0.00612176792648458,98.3621007732359,0.0159857557435049,0.854150248,1.52054184032788e-05
2014,0.0799538443974314,0.0935582340297366,0.216860797076248,3.73620947680361,144,16,0.00645691035989585,98.2742388633625,0.0160905279935517,0.854589072,1.57875525384686e-05
