"year","assimilated_weight","ingested_weight","Weight","Length","Energy","JulianDay","location"
141,0.271899912846788,0.282404961919664,1.47381890685076,6.67778064686317,7.3690945342538,201,3
141,0.274467198615408,0.28513639810559,1.50438166249718,6.71944391272546,7.52190831248589,202,3
141,0.278062064988802,0.287826865680508,1.53519515759042,6.76085598505474,7.67597578795209,203,3
141,0.280693654035464,0.290372706441225,1.56508339976166,6.80047468697154,7.82541699880829,204,3
141,0.283014245170954,0.292855760739415,1.5949202725444,6.83950276360743,7.97460136272201,205,3
141,0.285847671481933,0.295301147369512,1.6249818025233,6.8783134135057,8.12490901261649,206,3
141,0.288458622956939,0.297654675300593,1.65461849356467,6.91608876169505,8.27309246782336,207,3
141,0.290698615245156,0.299930210115109,1.68396145157401,6.95302793148778,8.41980725787003,208,3
141,0.292984154275442,0.30215793731039,1.71335425558278,6.98958279067129,8.56677127791392,209,3
141,0.295601830952205,0.304328923248297,1.74267437078164,7.0256143514814,8.7133718539082,210,3
141,0.297639299634507,0.306405438921243,1.77141811623799,7.06052976215813,8.85709058118995,211,3
141,0.282284014983205,0.291677619081866,1.80019087662427,7.09508715859071,9.00095438312134,212,3
141,0.108301922962182,0.116782643816816,0.18,3.53112813245625,0.9,141,4
141,0.117343905980336,0.126270926792983,0.198306889074563,3.63630695368507,0.991534445372817,142,4
141,0.126756798217038,0.136203496488354,0.218092550721346,3.74262751592837,1.09046275360673,143,4
141,0.136482716647436,0.146567429400121,0.239438145064935,3.85004002850866,1.19719072532467,144,4
141,0.146294115994368,0.157349710082636,0.262433601983607,3.95852835909951,1.31216800991804,145,4
141,0.156948288977836,0.168515333734403,0.287214919243469,4.06826071520141,1.43607459621735,146,4
141,0.167674322199103,0.180055820692661,0.313729551386115,4.17858763009106,1.56864775693058,147,4
141,0.178510513936518,0.191930813571316,0.342099044377675,4.28965507537213,1.71049522188838,148,4
141,0.190454071919945,0.204112423080716,0.3724176986342,4.40146913576438,1.862088493171,149,4
141,0.201812950851442,0.216486978496928,0.404545221887386,4.51323127841654,2.02272610943693,150,4
141,0.225050171438737,0.240612956304293,0.438681122638656,4.62539431298969,2.19340561319328,151,4
141,0.238710912609605,0.254749529861918,0.476762337466747,4.74355799715994,2.38381168733373,152,4
141,0.252460589357975,0.268977594067046,0.516980934458126,4.86141363240015,2.58490467229063,153,4
141,0.266730509510168,0.283240062831596,0.559336228351529,4.97881205945891,2.79668114175764,154,4
141,0.27998838925863,0.297441616785499,0.603687821116182,5.09527929804097,3.01843910558091,155,4
141,0.293329915506943,0.311607860316281,0.650263926658268,5.21133484711504,3.25131963329134,156,4
141,0.307066208177403,0.325677707179923,0.69901336039914,5.32675671706599,3.4950668019957,157,4
141,0.321204935277272,0.339567397617048,0.7497693214541,5.44111328590298,3.7488466072705,158,4
141,0.334183750330358,0.353191719358356,0.802304650141647,5.55392981514457,4.01152325070823,159,4
141,0.34588775314847,0.366584716152792,0.856830850753569,5.66570105531314,4.28415425376785,160,4
141,0.357678630963312,0.379787305925093,0.91362478178141,5.77696786129578,4.56812390890705,161,4
141,0.368889861310963,0.392743025452382,0.97255085430944,5.88742709083415,4.8627542715472,162,4
141,0.379721121353496,0.405440721469371,1.03364882202124,5.99713650389418,5.16824411010618,163,4
141,0.391794956653791,0.417857714011374,1.09688958384196,6.10603170310625,5.4844479192098,164,4
141,0.403113955994228,0.42989618877696,1.16180158590961,6.21334450882702,5.80900792954807,165,4
141,0.413995232802981,0.441564968131327,1.22841643305061,6.31921169998455,6.14208216525305,166,4
141,0.424568407545076,0.452859925291582,1.29668562658657,6.423634289707,6.48342813293283,167,4
141,0.434847686840179,0.463773817323297,1.36652233466919,6.5265618109811,6.83261167334593,168,4
141,0.444496005042265,0.474301872823716,1.43783197850987,6.62794384669167,7.18915989254936,169,4
141,0.45420425754162,0.484456423547407,1.51062095448193,6.72787667774101,7.55310477240963,170,4
141,0.464921730263542,0.494223043428453,1.58468984456157,6.82617864024381,7.92344922280785,171,4
141,0.473798856567905,0.503550867726897,1.65949895694127,6.92226414486242,8.29749478470634,172,4
141,0.48379680010844,0.512509855883247,1.7354325828533,7.01675442997472,8.6771629142665,173,4
141,0.4939271251572,0.521047076713606,1.81186337494576,7.10899661678997,9.0593168747288,174,4
141,0.503411550385678,0.52914963879328,1.88842153493876,7.19871238283294,9.44210767469378,175,4
141,0.511327117181349,0.536839779120042,1.96503294697206,7.28598756645937,9.82516473486032,176,4
141,0.519593449755521,0.544187427203059,2.04213303470045,7.37145694324446,10.2106651735023,177,4
141,0.525700535802541,0.551172730698243,2.119286070147,7.45476235937235,10.596430350735,178,4
